title,date,time,presenter,location,registration,description,workshop_id,workshop_begins,begins_display,workshop_ends,ends_display,time_flyer,duration,workshop_duration_minutes,registration_link,day,day_flyer,online_in_person_flyer
Tools for Data Management,2023-01-17,1:00pm - 3:00pm,Jen Darragh & Sophia Lafferty-Hess & John Little & Kelsey Smith,Online,https://duke.libcal.com/event/9974189?hs=a,"[Online] This workshop will first introduce data management practices for researchers to consider and apply throughout the research lifecycle. Good data management practices pertaining to planning, organization, documentation, storage and backup, sharing, citation, and preservation will be presented using examples that span disciplines. The second hour of this workshop will offer a mini “tour” of research data management tools including GitHub, LabArchives, and OSF and provide a framework for considering how to assess data management tools for future adoption. 

This workshop contains similar material to the previously offered “Research Data Management 101” workshop offered in previous semesters - participants who have attended this previous workshop should not attend.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management, Data Science",9974189,2023-01-17T18:00:00Z,01:00 PM,2023-01-17T20:00:00Z,03:00 PM,01:00 pm - 03:00 pm,120,120,https://duke.libcal.com/event/9974189,Tue,"Tue, Jan 17",Online
Intro to ArcGIS Pro,2023-01-18,10:00am - 12:00pm,Mark Thomas,Online,https://duke.libcal.com/event/9994067?hs=a,"[Online] ArcGIS Pro is the newer alternative interface to the tried-and-true ArcGIS Desktop software (ArcMap), with essentially the same functions, but with more of a MS-Office feel. As a native 64-bit program, it also has superior performance. There are a few nice feature enhancements such as multiple layouts in a single project, and it's more fully integrated with ArcGIS Online.

ArcGIS Pro can help you analyze or visualize digital data that has a locational component, and we'll discuss starting points for obtaining data. Examples will focus on social science data and feature (vector) layers, but attendees are encouraged to ask questions regarding their own needs and will be welcome to make one-on-one appointments later for more focused instruction. This is an introductory class, and it's not necessary to be familiar with GIS software beforehand.

Attendees should have access to ArcGIS Pro. These are the options for Duke affiliates:

OIT Download: Current Duke University students, faculty, and staff can get a free copy to install on their own Windows computer, or a Mac with virtual machine software installed (e.g., VMware or Parallels).
	Virtual Computing Manager (VCM) from Duke's Office of Information Technology (OIT) allows Duke users to check out a virtual machine with ArcGIS installed and connect via a remote connection.
For non-Duke affiliates, if you don't have access to a licensed copy of ArcGIS Pro through your institution, you can install a free 21-day trial version to allow you to use the sample data and follow through the instructions in this workshop.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Mapping & GIS",9994067,2023-01-18T15:00:00Z,10:00 AM,2023-01-18T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9994067,Wed,"Wed, Jan 18",Online
"R for data science: getting started, EDA, data wrangling",2023-01-24,10:00am - 12:00pm,John Little,Online,https://duke.libcal.com/event/9980184?hs=a,"[Online] Part of the Rfun series. R and the Tidyverse are a data-first coding language that enables reproducible workflows. In this two-part workshop you’ll learn the quick-start fundamentals of R and the Tidyverse. You’ll learn how to access and install RStudio, how to wrangle data for analysis, gain a brief introduction to visualization, and practice Exploratory Data Analysis (EDA).

Part 1 has no prerequisites and no prior experience is necessary. By the end of part 1 you will import data, edit and save scripts, subset data, use projects to organize your work, and develop self-help techniques. 

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop. We will use the flipped classroom model. Quickstart videos will be distributed one week prior to the event.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Science",9980184,2023-01-24T15:00:00Z,10:00 AM,2023-01-24T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9980184,Tue,"Tue, Jan 24",Online
"R for data science: visualization, pivot, join, regression",2023-01-26,10:00am - 12:00pm,John Little,Online,https://duke.libcal.com/event/9980204?hs=a,"[Online] Part of the Rfun series.  R and the Tidyverse are a data-first coding language that enables reproducible workflows. In this two-part workshop you’ll learn the quick-start fundamentals of R and the Tidyverse.  You’ll learn about visualization using ggplot2, how to make interactive charts for use in dashboards, how to reshape and merge data, and see a brief introduction to linear regression models.

Part 2 requires the familiarity of part 1.  By the end of part 2 you will have a familiarity with the grammar of graphics, be introduced to interactivity techniques, be able to invoke data joins, and data pivots.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop. We will use the flipped classroom model.  Quickstart videos will be distributed one week prior to the event.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Science",9980204,2023-01-26T15:00:00Z,10:00 AM,2023-01-26T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9980204,Thu,"Thu, Jan 26",Online
R for data science: custom functions and iteration,2023-01-31,10:00am - 11:30am,John Little,Online,https://duke.libcal.com/event/9980207?hs=a,"[Online] Part of the Rfun series. R and the Tidyverse are a data-first coding language that enables reproducible workflows. This Introduction to iteration and custom functions uses a case-study approach to iterating over rows in a data frame using the {purrr} package.  {purrr} is an efficient and easier alternative to writing FOR loops.

Prerequisite:  familiarity with Tidyverse and ggplot (See Rfun quickStart).  This workshop will explore efficient alternatives to for-loops by leveraging custom functions and the purrr library functions, e.g. map().  With these skills you can organize data frames for iteration.  For example, when ingesting multiple CSV files or multiple Excel worksheets.  You will learn nesting techniques that foster iteration.  You'll be able to organize data frames that contain models, and visualizations. 

This event is offered virtually. A zoom link will be sent via email to registered participants. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Science",9980207,2023-01-31T15:00:00Z,10:00 AM,2023-01-31T16:30:00Z,11:30 AM,10:00 am - 11:30 am,90,90,https://duke.libcal.com/event/9980207,Tue,"Tue, Jan 31",Online
Effective Data Visualization,2023-01-31,5:00pm - 6:30pm,Eric Monson,Online,https://duke.libcal.com/event/9994118?hs=a,"[Online] Visualization is a powerful way to reveal patterns in data, attract attention, and get your message across to an audience quickly and clearly. But, there are many steps in that journey from exploration to information to influence, and many choices to make when putting it all together to tell your story. I will cover some basic guidelines for effective visualization, point out a few common pitfalls to avoid, and run through a critique and iterations of an existing visualization to help you start seeing better choices beyond the program defaults.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Visualization",9994118,2023-01-31T22:00:00Z,05:00 PM,2023-01-31T23:30:00Z,06:30 PM,05:00 pm - 06:30 pm,90,90,https://duke.libcal.com/event/9994118,Tue,"Tue, Jan 31",Online
Creating dashboards with R: flexdashboards and Shiny,2023-02-02,10:00am - 12:00pm,Joel Herndon,Bostock 127 (The Edge Workshop Room),https://duke.libcal.com/event/9991452?hs=a,"[In-person] Part of the Rfun series. Flexdashboards and Shiny make it easy to transition from analytics to online dashbboards using R without having to learn HTML, CSS, and javascript. This workshop provides an overview of felxdashboards and the shiny framework to demonstrate the possibilties of creating dashboards in R.

Prerequisites: Experience using the R statistical language or CDVS's R for Data Science Series are helpful. All are welcome, but this workshop is not designed to provide training on using the analytics and visualization features in R.

Note: The Edge Workshop Room does not provide computers. If you would like to follow along on a computer, please bring a laptop to the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Visualization, Data Science, Mapping & GIS",9991452,2023-02-02T15:00:00Z,10:00 AM,2023-02-02T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9991452,Thu,"Thu, Feb 02",In-Person
Designing Thematic Maps,2023-02-07,10:30am - 12:00pm,Drew Keener,Online,https://duke.libcal.com/event/9995947?hs=a,"[Online] Making maps is a creative rather than a purely technical process. Even if you can expertly use the latest and most advanced tools, you still have to make design decisions based on your specific data, audience, and goals. This workshop will provide practical techniques for visualizing data with effective, visually appealing maps. We will explore design principles by analyzing plenty of examples. No specific software experience or GIS knowledge is required.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS, Data Visualization",9995947,2023-02-07T15:30:00Z,10:30 AM,2023-02-07T17:00:00Z,12:00 PM,10:30 am - 12:00 pm,90,90,https://duke.libcal.com/event/9995947,Tue,"Tue, Feb 07",Online
Preparing for Data Publishing: Standards and Disciplinary Repositories,2023-02-14,10:00am - 12:00pm,Sophia Lafferty-Hess & Jen Darragh,Online,https://duke.libcal.com/event/9974291?hs=a,"[Online] Research data have value beyond their original purpose and by sharing or ""publishing"" your data you can support open science, reproducibility, and future innovation. This workshop will explore strategies and best practices for formally publishing your data in a data repository. Topics covered will include new modes of publishing in academia, the use of data and metadata standards to support interoperability and harmonization, an overview of repository options and key features, examples of disciplinary repositories, and data publishing methods to increase the impact of research projects and support the FAIR Guiding Principles (i.e., Findable, Accessible, Interoperable, and Reusable). Participants will also practice finding and assessing data repositories via a hands-on exercise. 

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management",9974291,2023-02-14T15:00:00Z,10:00 AM,2023-02-14T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9974291,Tue,"Tue, Feb 14",Online
Intro to QGIS,2023-02-15,10:00am - 12:00pm,Mark Thomas,Online,https://duke.libcal.com/event/9994068?hs=a,"[Online] Are you looking for an open source option for GIS to make maps or to analyze geospatial data? In this workshop we will demonstrate how to import and analyze data in QGIS and discuss the benefits of using QGIS over other GIS software. It's free and available for multiple platforms, not just Windows as is ArcGIS. In the process, we'll go over some general GIS concepts such as layers, types of GIS files, and projections, with an emphasis on feature (vector) layers. This is an introductory class, and no prior GIS experience is needed.

Attendees should have installed QGIS beforehand.

Go to the QGIS Downloads webpage.
	Download and install the QGIS Installer for either the latest version or the latest long-term (most stable) release, either 64-bit or 32-bit.  Versions for several platforms are available.
This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Mapping & GIS",9994068,2023-02-15T15:00:00Z,10:00 AM,2023-02-15T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/9994068,Wed,"Wed, Feb 15",Online
