ronum,title,date,time,presenter,location,registration,description,workshop_id,workshop_begins,begins_display,workshop_ends,ends_display,time_flyer,duration,workshop_duration_minutes,registration_link,day,day_flyer,online_in_person_flyer
1,R for Lunch: How to import data and install RStudio/Tidyverese,2024-01-17,12:00pm - 1:00pm,John Little,Online,https://duke.libcal.com/event/11640712?hs=a,"[Online] Part of the RFun Series. Learn how to import data following a brief tour of the RStudio IDE and an introduction to coding notebooks. This event is open to non-Duke participants.

R for Lunch is a one-hour lunchtime series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. 

A zoom link will be sent via email to registered participants to join the workshop. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science",11640712,2024-01-17T17:00:00Z,12:00 PM,2024-01-17T18:00:00Z,01:00 PM,12:00 pm - 01:00 pm,60,60,https://duke.libcal.com/event/11640712,Wed,"Wed, Jan 17",Online
2,Meeting Data Management and Sharing Plan Requirements,2024-01-17,2:00pm - 4:00pm,Jen Darragh & Sophia Lafferty-Hess & Office of Scientific Integrity,Online,https://duke.libcal.com/event/11636584?hs=a,"[Online] There are many federal and private funders who require data management and sharing plans as part of a grant application, including NIH who recently implemented a new Data Management and Sharing Policy that went into effect on January 25, 2023. This workshop will cover the components of a data management plan, what makes a strong plan and how to adhere to it, and where to find guidance, tools, resources, and assistance for building funder-based plans. We will also discuss how to make data management plans actionable and meaningful living documents to support research integrity, reproducibility, reuse, and verification of results. This workshop is a collaboration of Duke University Libraries, the Office of Scientific Integrity, and the Medical Center Library and Archives. This event is open to non-Duke participants.

This workshop is eligible for the 200-level faculty and staff RCR. 

A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management",11636584,2024-01-17T19:00:00Z,02:00 PM,2024-01-17T21:00:00Z,04:00 PM,02:00 pm - 04:00 pm,120,120,https://duke.libcal.com/event/11636584,Wed,"Wed, Jan 17",Online
3,R for Lunch: Data wrangling with dplyr,2024-01-18,12:00pm - 1:00pm,John Little,Online,https://duke.libcal.com/event/11640857?hs=a,"[Online] Part of the RFun Series. We explore the five essential {dplyr} data wrangling verbs. We demonstrate and apply data pipes inside code-chunks within Quarto coding notebooks. Quarto Notebooks were discussed in the previous session. This event is open to non-Duke participants.

R for Lunch is a one-hour lunchtime series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. 

A zoom link will be sent via email to registered participants to join the workshop. 

NOTE:  Must have an up-to-date installation of RStudio.  (RStudio > Help > Check for Updates)

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science",11640857,2024-01-18T17:00:00Z,12:00 PM,2024-01-18T18:00:00Z,01:00 PM,12:00 pm - 01:00 pm,60,60,https://duke.libcal.com/event/11640857,Thu,"Thu, Jan 18",Online
4,Effective Academic Posters,2024-01-22,5:00pm - 6:30pm,Eric Monson,Online,https://duke.libcal.com/event/11646643?hs=a,"[Online] Poster sessions are an incredible opportunity to share our work with a broader audience, get feedback, and network with our peers, as well as potential employers, funders and collaborators. Our careers often depend on performing well in these exciting and often chaotic venues, but few of us are trained in graphic design and visual storytelling! In this talk, I will present some principles for creating an effective academic poster, and introduce you to a group critique process that should help you tell your story more clearly and stand out from the crowd. This event is open to non-Duke participants. 

You don't need any software installed for this workshop – it is a talk with an interactive portion at the end.

A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Visualization",11646643,2024-01-22T22:00:00Z,05:00 PM,2024-01-22T23:30:00Z,06:30 PM,05:00 pm - 06:30 pm,90,90,https://duke.libcal.com/event/11646643,Mon,"Mon, Jan 22",Online
5,R for Lunch: Visualize data with {ggplot2} - an introduction,2024-01-25,12:00pm - 1:00pm,Lauren Nichols,Online,https://duke.libcal.com/event/11645062?hs=a,"[Online] Part of the RFun Series. We explore the opportunities for visualizing data using ggplot2 in R. We will discuss how to format your data and then jump right into plotting. We will take a look at different graph types and how to add elements to an existing graph. This event is open to non-Duke participants.

R for Lunch is a one-hour lunchtime series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. 

A zoom link will be sent via email to registered participants to join the workshop.

NOTE:  Must have an up-to-date installation of RStudio.  (RStudio > Help > Check for Updates)

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science",11645062,2024-01-25T17:00:00Z,12:00 PM,2024-01-25T18:00:00Z,01:00 PM,12:00 pm - 01:00 pm,60,60,https://duke.libcal.com/event/11645062,Thu,"Thu, Jan 25",Online
6,Tools for Data Management,2024-01-25,1:00pm - 3:00pm,Jen Darragh & Sophia Lafferty-Hess & John Little & Kelsey Smith,Online,https://duke.libcal.com/event/11636693?hs=a,"[Online] This workshop will first introduce data management practices for researchers to consider and apply throughout the research lifecycle. Good data management practices pertaining to planning, organization, documentation, storage and backup, sharing, citation, and preservation will be presented using examples that span disciplines. The second hour of this workshop will offer a mini “tour” of research data management tools including GitHub, LabArchives, and OSF and provide a framework for considering how to assess data management tools for future adoption. This event is open to non-Duke participants.

A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management, Data Science",11636693,2024-01-25T18:00:00Z,01:00 PM,2024-01-25T20:00:00Z,03:00 PM,01:00 pm - 03:00 pm,120,120,https://duke.libcal.com/event/11636693,Thu,"Thu, Jan 25",Online
7,Intro to ArcGIS Pro,2024-01-30,10:00am - 12:00pm,Mark Thomas,Online,https://duke.libcal.com/event/11646732?hs=a,"[Online] ArcGIS Pro is the latest flagship desktop GIS client application from Esri.  Compared to the previous ArcMap interface, it has superior performance as a native 64-bit program. There are a few nice feature enhancements such as multiple layouts in a single project, and it's more fully integrated with ArcGIS Online. ArcGIS Pro can help you analyze or visualize digital data that has a locational component, and we'll discuss starting points for obtaining data. Examples will focus on social science data and feature (vector) layers, but attendees are encouraged to ask questions regarding their own needs and will be welcome to make one-on-one appointments later for more focused instruction. This is an introductory class, and it's not necessary to be familiar with GIS software beforehand. This event is open to non-Duke participants.

Attendees should have access to ArcGIS Pro. These are the options for Duke affiliates:

OIT Download: Current Duke University students, faculty, and staff can get a free copy to install on their own Windows computer, or a Mac with virtual machine software installed (e.g., VMware or Parallels).
	Virtual Computing Manager (VCM) from Duke's Office of Information Technology (OIT) allows Duke users to check out a virtual machine with ArcGIS installed and connect via a remote connection.
For non-Duke affiliates, if you don't have access to a licensed copy of ArcGIS Pro through your institution, you can install a free 21-day trial version to allow you to use the sample data and follow through the instructions in this workshop.

A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Mapping & GIS",11646732,2024-01-30T15:00:00Z,10:00 AM,2024-01-30T17:00:00Z,12:00 PM,10:00 am - 12:00 pm,120,120,https://duke.libcal.com/event/11646732,Tue,"Tue, Jan 30",Online
8,Story Maps,2024-01-31,1:00pm - 2:30pm,Drew Keener,Online,https://duke.libcal.com/event/11646696?hs=a,"[Online] This workshop will help you get started telling stories with maps on the ArcGIS StoryMaps platform. This easy-to-use web application combines interactive maps with narrative text, images, and videos to provide a powerful communication tool for any project with a spatial component. We will explore the capabilities of the platform, share best practices for designing effective stories, and guide participants through the process of creating their own story maps.This event is open to non-Duke participants. 

No previous experience with GIS is necessary.

A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS",11646696,2024-01-31T18:00:00Z,01:00 PM,2024-01-31T19:30:00Z,02:30 PM,01:00 pm - 02:30 pm,90,90,https://duke.libcal.com/event/11646696,Wed,"Wed, Jan 31",Online
9,R for Lunch: Intro to mapping,2024-02-01,12:00pm - 1:00pm,Drew Keener,Online,https://duke.libcal.com/event/11646660?hs=a,"[Online] Part of the RFun Series. This workshop introduces the use of the R language for producing maps. We will demonstrate the advantages of a code-drive approach such as R for visualizing geospatial data. Participants will gain the skills to quickly and efficiently create a variety of map types for a website, presentation, or publication. In addition to working on hands-on coding exercises, we will also review practical guidance on designing effective maps. This event is open to non-Duke participants.

R for Lunch is a one-hour lunchtime series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. 

A zoom link will be sent via email to registered participants to join the workshop. 

NOTE:  Must have an up-to-date installation of RStudio.  (RStudio > Help > Check for Updates)

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS, Data Visualization",11646660,2024-02-01T17:00:00Z,12:00 PM,2024-02-01T18:00:00Z,01:00 PM,12:00 pm - 01:00 pm,60,60,https://duke.libcal.com/event/11646660,Thu,"Thu, Feb 01",Online
10,Creating Web Maps with ArcGIS,2024-02-06,10:30am - 12:00pm,Drew Keener,Online,https://duke.libcal.com/event/11646718?hs=a,"[Online] This introductory workshop will teach you how to build interactive online maps. After reviewing fundamental mapping concepts and technologies, we will walk through hands-on activities in Esri's ArcGIS Online. ArcGIS Online is a cloud-based mapping and analysis platform you can use in your web browser. Topics will include: finding geospatial data, designing effective maps, sharing web applications, and using basic spatial analysis tools. This event is open to non-Duke participants. 

No previous experience with GIS is necessary.

A zoom link will be sent via email to registered participants to join the workshop. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS",11646718,2024-02-06T15:30:00Z,10:30 AM,2024-02-06T17:00:00Z,12:00 PM,10:30 am - 12:00 pm,90,90,https://duke.libcal.com/event/11646718,Tue,"Tue, Feb 06",Online
